City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Amahai,ID,2022-02-01 20:15:44,-3.3333,128.9167,77.79,81,98,5.73
224,Pangnirtung,CA,2022-02-01 20:16:45,66.1451,-65.7125,-27.4,75,20,2.3
225,Maralal,KE,2022-02-01 20:16:45,1.0968,36.698,64.29,63,100,5.64
226,Mayahi,NE,2022-02-01 20:16:45,13.9553,7.6712,63.41,14,0,9.33
227,Boa Vista,BR,2022-02-01 20:16:46,2.8197,-60.6733,87.78,51,40,17.27
228,Saint Anthony,US,2022-02-01 20:16:41,45.0205,-93.218,18.93,65,75,7.0
229,Verkhneyarkeyevo,RU,2022-02-01 20:16:46,55.4505,54.3145,30.09,88,100,14.88
230,Vao,NC,2022-02-01 20:16:47,-22.6667,167.4833,77.58,82,18,14.74
231,Oktyabrskoye,RU,2022-02-01 20:16:47,43.0645,44.7417,30.34,92,46,6.71
232,Umtata,ZA,2022-02-01 20:16:47,-31.5889,28.7844,69.44,90,100,4.32
233,Geraldton,AU,2022-02-01 20:16:48,-28.7667,114.6,84.61,26,11,21.85
234,Fortuna,US,2022-02-01 20:16:48,40.5982,-124.1573,51.93,56,0,7.0
235,High Level,CA,2022-02-01 20:16:48,58.5169,-117.136,-5.69,71,40,12.66
236,Te Anau,NZ,2022-02-01 20:16:49,-45.4167,167.7167,64.15,97,100,4.43
237,Touros,BR,2022-02-01 20:16:49,-5.1989,-35.4608,83.3,70,49,12.8
238,Suntar,RU,2022-02-01 20:16:49,62.1444,117.6319,-26.73,99,95,3.58
239,Lompoc,US,2022-02-01 20:16:49,34.6391,-120.4579,66.85,32,0,14.97
240,Bismarck,US,2022-02-01 20:16:05,46.8083,-100.7837,8.87,66,75,20.71
241,Le Port,RE,2022-02-01 20:16:50,-20.9373,55.2919,80.56,80,99,7.25
242,Valer,NO,2022-02-01 20:16:50,60.6785,11.8331,22.89,94,100,4.25
243,Lebu,CL,2022-02-01 20:16:51,-37.6167,-73.65,65.07,73,0,12.55
244,Haines Junction,CA,2022-02-01 20:16:51,60.7522,-137.5108,-29.25,68,97,1.14
245,Jacqueville,CI,2022-02-01 20:16:51,5.2052,-4.4146,82.31,82,96,11.5
246,Half Moon Bay,US,2022-02-01 20:15:08,37.4636,-122.4286,61.05,34,0,5.01
247,Yulara,AU,2022-02-01 20:16:52,-25.2406,130.9889,67.84,94,75,12.66
248,Bacolod,PH,2022-02-01 20:14:19,10.6667,122.95,75.99,86,100,8.9
249,Passo De Camaragibe,BR,2022-02-01 20:13:30,-9.2368,-35.4901,85.55,68,44,7.2
250,Trairi,BR,2022-02-01 20:16:52,-3.2778,-39.2689,81.7,73,100,13.18
251,Cruzilia,BR,2022-02-01 20:16:52,-21.8386,-44.8083,67.84,93,81,3.91
252,Nepomuceno,BR,2022-02-01 20:16:53,-21.2358,-45.2358,74.48,77,53,5.64
253,Qesarya,IL,2022-02-01 20:16:53,32.5189,34.9046,51.24,72,2,7.99
254,Svetlogorsk,BY,2022-02-01 20:16:53,52.6333,29.7333,22.08,94,100,8.43
255,Aksu,CN,2022-02-01 20:16:54,41.1231,80.2644,23.16,51,0,0.6
256,Srednekolymsk,RU,2022-02-01 20:16:54,67.45,153.6833,-20.31,98,94,2.28
257,Garowe,SO,2022-02-01 20:16:54,8.4054,48.4845,73.53,65,100,13.47
258,Charters Towers,AU,2022-02-01 20:16:55,-20.1,146.2667,77.31,78,100,6.11
259,Chokurdakh,RU,2022-02-01 20:16:55,70.6333,147.9167,-22.38,99,100,2.33
260,Mporokoso,ZM,2022-02-01 20:16:55,-9.3727,30.125,61.84,99,100,3.94
261,Baherden,TM,2022-02-01 20:16:56,38.4362,57.4316,48.7,42,100,5.93
262,Marienburg,PL,2022-02-01 20:16:56,54.0359,19.0266,34.12,97,100,16.55
263,Praia,CV,2022-02-01 20:16:56,14.9215,-23.5087,75.74,69,98,12.66
264,Yerbogachen,RU,2022-02-01 20:16:57,61.2767,108.0108,-29.79,100,50,1.83
265,Manakara,MG,2022-02-01 20:16:57,-22.1333,48.0167,73.99,87,2,5.55
266,Najran,SA,2022-02-01 20:16:57,17.4924,44.1277,70.45,36,4,3.38
267,Christchurch,NZ,2022-02-01 20:14:43,-43.5333,172.6333,75.47,65,100,1.01
268,Ilam,NP,2022-02-01 20:17:58,26.9167,87.9167,47.48,80,99,2.42
269,Port Hardy,CA,2022-02-01 20:17:58,50.6996,-127.4199,41.18,81,100,5.75
270,Oneonta,US,2022-02-01 20:17:58,42.4529,-75.0638,37.17,54,77,11.48
271,Kalashnikovo,RU,2022-02-01 20:17:59,57.2824,35.2262,21.88,94,100,7.14
272,Gouyave,GD,2022-02-01 20:17:59,12.1646,-61.7296,83.17,74,20,21.85
273,Saint-Georges,GD,2022-02-01 20:17:59,12.0564,-61.7485,83.88,74,20,21.85
274,Pangkalanbuun,ID,2022-02-01 20:18:00,-2.6833,111.6167,73.74,97,72,1.41
275,Mama,RU,2022-02-01 20:18:00,58.3106,112.8986,-6.43,100,100,2.37
276,Balykshi,KZ,2022-02-01 20:18:00,47.0667,51.8667,30.2,100,100,2.24
277,Nizwa,OM,2022-02-01 20:18:00,22.9333,57.5333,69.98,28,1,2.82
278,Norman Wells,CA,2022-02-01 20:18:01,65.282,-126.8329,-9.36,70,75,2.3
279,Dubinino,RU,2022-02-01 20:18:01,55.6192,89.0911,8.73,93,100,3.13
280,Osa,RU,2022-02-01 20:18:01,57.2829,55.4567,29.89,92,100,13.69
281,Andros Town,BS,2022-02-01 20:18:02,24.7,-77.7667,71.56,54,100,19.13
282,Arlit,NE,2022-02-01 20:18:02,18.7369,7.3853,63.59,11,4,4.92
283,Bambous Virieux,MU,2022-02-01 20:18:02,-20.3428,57.7575,79.05,94,75,19.57
284,Tura,IN,2022-02-01 20:18:03,25.5198,90.2201,52.38,75,3,4.47
285,Yatou,CN,2022-02-01 20:18:03,37.15,122.3833,24.3,67,44,5.77
286,Leningradskiy,RU,2022-02-01 20:18:03,69.3833,178.4167,-11.51,94,44,11.45
287,Atambua,ID,2022-02-01 20:18:04,-9.1061,124.8925,74.3,87,81,6.11
288,Victor Harbor,AU,2022-02-01 20:18:04,-35.5667,138.6167,61.0,61,76,1.99
289,Lakatoro,VU,2022-02-01 20:18:04,-16.0999,167.4164,80.92,83,91,7.49
290,Salalah,OM,2022-02-01 20:16:44,17.0151,54.0924,69.89,60,0,5.75
291,Nelson Bay,AU,2022-02-01 20:18:05,-32.7167,152.15,73.96,94,100,6.58
292,San Cristobal,VE,2022-02-01 20:18:05,7.7669,-72.225,77.18,30,93,7.16
